STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CRACK_OR_JOINT,CRACK_OR_JOINT_EXP,CONSTRUCTION_NO,AVG_EDGE_FAULT,AVG_WHEELPATH_FAULT
37,North Carolina,0207,10/16/2012,J,Joint,1,0,0.100000001
37,North Carolina,0204,10/18/2012,J,Joint,1,0.600000024,0.600000024
20,Kansas,0205,09/19/2012,J,Joint,5,0.300000012,0.300000012
49,Utah,7083,10/10/2012,C,Crack,4,0.100000001,-0.100000001
38,North Dakota,0217,08/21/2012,J,Joint,9,0.100000001,0.5
38,North Dakota,0219,08/21/2012,J,Joint,6,0.899999976,1.5
38,North Dakota,0262,08/21/2012,J,Joint,6,1.799999952,2.599999905
20,Kansas,0203,09/18/2012,J,Joint,2,-0.100000001,0
6,California,0209,12/04/2012,C,Crack,3,0,-1
48,Texas,9355,09/17/2012,J,Joint,1,0.200000003,0.300000012
6,California,3017,01/29/2013,J,Joint,3,0.800000012,0.5
53,Washington,0202,05/20/2013,J,Joint,1,0.100000001,0
5,Arkansas,A601,11/04/2012,J,Joint,10,,
35,New Mexico,3010,04/04/2013,J,Joint,1,0,0
35,New Mexico,3010,04/04/2013,C,Crack,1,0,0.300000012
6,California,3019,02/07/2013,J,Joint,2,1.100000024,0.899999976
1,Alabama,3028,02/01/2013,J,Joint,2,9.600000381,10.19999981
12,Florida,4000,10/10/2013,J,Joint,3,0.200000003,0.100000001
5,Arkansas,0223,08/12/2013,J,Joint,2,0.600000024,0.5
8,Colorado,0223,09/19/2013,C,Crack,1,0,0
8,Colorado,7776,09/24/2013,J,Joint,7,0.400000006,0.5
8,Colorado,0217,09/17/2013,J,Joint,4,1,0.899999976
27,Minnesota,3007,10/16/2013,C,Crack,3,0,1
27,Minnesota,3012,10/16/2013,J,Joint,3,0.300000012,0.400000006
48,Texas,4146,08/15/2013,J,Joint,1,0.5,0.5
39,Ohio,5569,11/14/2013,J,Joint,1,1.299999952,1.100000024
5,Arkansas,4019,12/04/2014,J,Joint,2,0.600000024,0.5
5,Arkansas,0810,12/04/2014,J,Joint,2,0.699999988,0.300000012
37,North Carolina,0260,03/10/2015,J,Joint,1,0.200000003,0
38,North Dakota,0218,09/24/2015,J,Joint,7,0,0
19,Iowa,0215,11/18/2014,J,Joint,2,0,0.200000003
10,Delaware,0205,05/28/2015,J,Joint,6,0.300000012,0.100000001
37,North Carolina,3807,03/25/2015,C,Crack,1,-0.5,-0.5
53,Washington,3014,08/26/2015,J,Joint,1,1.399999976,1.100000024
49,Utah,7085,06/25/2014,J,Joint,3,0.100000001,0
53,Washington,0259,05/19/2014,J,Joint,1,-0.100000001,0
49,Utah,7086,09/14/2015,J,Joint,4,1,1.200000048
8,Colorado,0220,10/12/2015,J,Joint,2,0,-0.400000006
6,California,0208,10/14/2014,J,Joint,4,1.100000024,0.699999988
6,California,0208,10/14/2014,C,Crack,4,0,0
53,Washington,0206,05/20/2014,C,Crack,1,0.200000003,0.300000012
49,Utah,3011,09/21/2015,J,Joint,3,0.100000001,-0.200000003
53,Washington,3013,08/18/2015,J,Joint,2,0.5,0.699999988
6,California,0201,10/14/2014,C,Crack,4,3.299999952,2.400000095
49,Utah,7083,06/19/2014,C,Crack,4,0,0.100000001
6,California,0206,11/18/2015,C,Crack,2,-0.300000012,0
20,Kansas,0209,12/03/2015,J,Joint,3,0,0.200000003
4,Arizona,0222,12/10/2015,C,Crack,1,0,0.100000001
4,Arizona,0222,12/10/2015,J,Joint,1,0.400000006,0.400000006
20,Kansas,0202,12/01/2015,C,Crack,3,1.5,2.5
4,Arizona,0220,12/11/2014,J,Joint,1,0.200000003,0.200000003
39,Ohio,0260,06/03/2014,J,Joint,2,0.400000006,0.800000012
39,Ohio,0208,06/05/2014,C,Crack,4,0.200000003,-0.100000001
6,California,0210,11/18/2015,J,Joint,3,0.200000003,0.200000003
6,California,0208,11/19/2015,J,Joint,4,0,-0.100000001
4,Arizona,0219,12/10/2014,J,Joint,1,0,0.200000003
4,Arizona,0222,12/08/2014,C,Crack,1,0,0
55,Wisconsin,0263,11/03/2015,J,Joint,1,0.200000003,0.100000001
8,Colorado,0216,09/10/2014,J,Joint,3,-0.100000001,-0.400000006
6,California,3024,01/27/2015,J,Joint,2,1.5,1.299999952
6,California,7493,01/15/2015,J,Joint,4,1.399999976,1.200000048
39,Ohio,0810,06/18/2014,J,Joint,1,-0.100000001,0
20,Kansas,0201,12/01/2015,J,Joint,7,-0.200000003,0.100000001
38,North Dakota,0216,09/22/2015,J,Joint,8,0.100000001,0.200000003
38,North Dakota,0215,09/22/2015,J,Joint,8,0.5,0.800000012
10,Delaware,0211,05/28/2015,J,Joint,4,0,-0.100000001
38,North Dakota,0261,09/22/2015,J,Joint,7,4.300000191,4.5
45,South Carolina,3012,08/13/2014,J,Joint,1,0.400000006,0.400000006
8,Colorado,0259,09/15/2014,J,Joint,2,0,-0.100000001
