STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,DURAB_CRACK_NO_L,DURAB_CRACK_NO_M,DURAB_CRACK_NO_H,DURAB_CRACK_A_L,DURAB_CRACK_A_M,DURAB_CRACK_A_H,LONG_CRACK_L_L,LONG_CRACK_L_M,LONG_CRACK_L_H,LONG_CRACK_SEAL_L_L,LONG_CRACK_SEAL_L_M,LONG_CRACK_SEAL_L_H,TRANS_CRACK_TOTAL_NO,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,MAP_CRACK_NO,MAP_CRACK_A,SCALING_NO,SCALING_A,POLISH_AGG_A,BLOWUPS_NO,CONST_JOINT_NO_L,CONST_JOINT_NO_M,CONST_JOINT_NO_H,PATCH_FLEX_NO_L,PATCH_FLEX_NO_M,PATCH_FLEX_NO_H,PATCH_FLEX_A_L,PATCH_FLEX_A_M,PATCH_FLEX_A_H,PATCH_RIGID_NO_L,PATCH_RIGID_NO_M,PATCH_RIGID_NO_H,PATCH_RIGID_A_L,PATCH_RIGID_A_M,PATCH_RIGID_A_H,PUNCHOUTS_NO_L,PUNCHOUTS_NO_M,PUNCHOUTS_NO_H,LONG_SPALLING_L_L,LONG_SPALLING_L_M,LONG_SPALLING_L_H,PUMPING_NO,PUMPING_L,LONG_JT_SEAL_NO,LONG_JT_SEAL_DAM_L,OTHER,SURVEY_WIDTH
5,Arkansas,5805,11/28/1994,1,0,0,0,0,0,0,0,0,0,0,0,0,213,210,3,0,760,11.10000038,0,0,0,0,0,152.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,LANE TO SHOULDER JOINT WELL SEALED. NOPROPER EQUIP. FOR LANE TO SHOULDER MEAS.,3.700000048
48,Texas,3719,06/08/1995,1,0,0,0,0,0,0,0,0,0,0,0,0,125,117,7,1,411.8999939,25.60000038,3.700000048,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,3.700000048
48,Texas,5026,06/06/1995,1,0,0,0,0,0,0,0,0,0,0,0,0,144,136,8,0,491.7000122,29.20000076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,3.700000048
13,Georgia,5023,10/27/1994,1,0,0,0,0,0,0,0,0,0,0,0,0,80,70,10,0,236,40.40000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NO VIDEO DUE TO HIGH TRAFFIC.NO TRAFFIC CONTROL.,3.700000048
22,Louisiana,0702,12/08/1992,2,0,0,0,0,0,0,2.5,0,0,0,0,0,78,72,6,0,215.5,21.89999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.700000048
22,Louisiana,0703,12/08/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,60,59,1,0,199.6999969,3.599999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.599999905,,3.700000048
40,Oklahoma,4155,11/01/1994,1,0,0,0,0,0,0,0,0,0,0,0,0,129,129,0,0,475.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,3.700000048
48,Texas,3719,07/09/1991,1,0,0,0,0,0,0,0,0,0,0,0,0,120,118,2,0,420.8999939,5.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"LARGE SPALL (1 SQ. FT.) AT STA. 3+78,NOT ASSOCIATED WITH ANY CRACK.",3.700000048
22,Louisiana,0707,07/12/1994,2,0,0,0,0,0,0,0,1.100000024,0,0,0,0,83,29,51,3,104.4000015,180.8000031,12.39999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,122,2,122,,3.700000048
22,Louisiana,0708,07/12/1994,2,0,0,0,0,0,0,1.799999952,0.5,0,0,0,0,95,80,10,5,289.1000061,36.59999847,14.39999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,78.5,2,60.5,,3.700000048
